track_name,track_uri,rank,track_name1,first_artist,second_artist,year,track_name2,track_uri1,track_match,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri2,duration_ms,time_signature,key_mode
Whatcha Say,2zJZwWF7BTGIIvrAlgzJEx,43,Whatcha Say,"Jason Derulo
",NA,2010,NA,NA,TRUE,0.615,0.711,B,-5.507,major,0.0779,0.0444,0,0.145,0.711,144.036,2zJZwWF7BTGIIvrAlgzJEx,221253,4,B major
Baby,6epn3r7S14KUqlReYr77hA,44,Baby,Justin Bieber ," Ludacris
",2010,NA,NA,TRUE,0.656,0.841,F,-5.183,minor,0.232,0.0544,0,0.122,0.522,65.024,6epn3r7S14KUqlReYr77hA,214240,4,F minor
Whataya Want from Me,2rDwdvBma1O1eLzo29p2cr,45,Whataya Want from Me,"Adam Lambert
",NA,2010,NA,NA,TRUE,0.44,0.683,B,-4.732,minor,0.0489,0.00706,0,0.0593,0.445,185.948,2rDwdvBma1O1eLzo29p2cr,227320,4,B minor
Mine,0dBW6ZsW8skfvoRfgeerBF,46,Mine,"Taylor Swift
",NA,2010,NA,NA,TRUE,0.619,0.767,G,-2.793,major,0.0297,0.00417,1.46e-6,0.191,0.628,121.036,0dBW6ZsW8skfvoRfgeerBF,230707,4,G major
Only Girl In The World,6jAsmDJI8iPhGWtS27kZ67,47,Only Girl In the World,"Rihanna
",NA,2010,NA,NA,TRUE,0.78,0.714,B,-4.155,minor,0.0382,0.119,4.1e-6,0.217,0.666,125.924,6jAsmDJI8iPhGWtS27kZ67,235520,4,B minor
Hard,3YJkAQNEhmCZGLdmPsu6Ye,49,Hard,Rihanna ," Jeezy
",2010,NA,NA,TRUE,0.569,0.755,C#,-3.588,major,0.0385,0.0117,0,0.696,0.182,91.022,3YJkAQNEhmCZGLdmPsu6Ye,250600,4,C# major
Young Forever,6s6bdIzswzuJPr9syfjJAB,50,Young Forever,Jay-Z ," Mr Hudson
",2010,NA,NA,TRUE,0.697,0.445,A,-12.891,minor,0.143,0.235,0,0.147,0.415,140.297,6s6bdIzswzuJPr9syfjJAB,254208,4,A minor
Blah Blah Blah,7jmqSz6yTrGWI1kNqNYI28,51,Blah Blah Blah,Kesha ," 3OH!3
",2010,NA,NA,TRUE,0.752,0.832,A#,-3.243,major,0.0971,0.0833,2.65e-4,0.424,0.534,120.003,7jmqSz6yTrGWI1kNqNYI28,172053,4,A# major
Bottoms Up  feat Nicki Minaj,2IpGdrWvIZipmaxo1YRxw5,52,Bottoms Up,Trey Songz ," Nicki Minaj
",2010,NA,NA,TRUE,0.845,0.601,C#,-5.283,major,0.161,0.0205,0,0.385,0.329,74.008,2IpGdrWvIZipmaxo1YRxw5,242013,4,C# major
Do You Remember,7yws3pF3FFguwT2Psi6c15,53,Do You Remember,Jay Sean ," Sean Paul and Lil Jon
",2010,NA,NA,TRUE,0.854,0.664,B,-4.88,major,0.085,0.0278,0,0.118,0.782,125.84,7yws3pF3FFguwT2Psi6c15,210307,4,B major
